0.000000 0.000000
0.100000 0.000003
0.200000 0.000050
0.300000 0.000251
0.400000 0.000789
0.500000 0.001913
0.600000 0.003930
0.700000 0.007201
0.800000 0.012131
0.900000 0.019154
1.000000 0.028726
1.100000 0.041311
1.200000 0.057366
1.300000 0.077329
1.400000 0.101604
1.500000 0.130549
1.600000 0.164459
1.700000 0.203556
1.800000 0.247976
1.900000 0.297758
2.000000 0.352834
2.100000 0.413023
2.200000 0.478021
2.300000 0.547402
2.400000 0.620611
2.500000 0.696968
2.600000 0.775665
2.700000 0.855778
2.800000 0.936269
2.900000 1.015996
3.000000 1.093729
3.100000 1.168162
3.200000 1.237930
3.300000 1.301636
3.400000 1.357874
3.500000 1.405268
3.600000 1.442511
3.700000 1.468436
3.800000 1.482101
3.900000 1.482925
4.000000 1.470892
4.100000 1.446865
4.200000 1.413072
4.300000 1.373851
4.400000 1.336815
4.500000 1.314625
4.600000 1.327706
4.700000 1.408348
4.800000 1.606887
4.900000 2.000914
5.000000 2.708911
5.100000 3.910311
5.200000 5.874752
5.300000 9.004483
5.400000 13.895404
5.500000 21.424339
5.600000 32.873048
5.700000 50.103344
5.800000 75.802906
5.900000 113.828351
6.000000 169.681377
6.100000 251.166013
6.200000 369.291134
6.300000 539.503481
6.400000 783.363931
6.500000 1130.815506
6.600000 1623.237807
6.700000 2317.542095
6.800000 3291.637621
6.900000 4651.697471
7.000000 6541.776537
7.100000 9156.492122
7.200000 12757.677296
7.300000 17696.168827
7.400000 24440.207722
7.500000 33612.326444
7.600000 46037.091405
7.700000 62802.684930
7.800000 85340.074942
7.900000 115524.466354
8.000000 155804.895338
8.100000 209369.264402
8.200000 280353.880038
8.300000 374108.714550
8.400000 497532.251740
8.500000 659492.990569
8.600000 871358.588090
8.700000 1147658.361235
8.800000 1506910.600119
8.900000 1972653.066683
9.000000 2574723.389981
9.100000 3350846.091548
9.200000 4348594.996494
9.300000 5627814.178145
9.400000 7263597.779081
9.500000 9349949.555263
9.600000 12004267.392828
9.700000 15372827.036356
9.800000 19637473.642267
9.900000 25023770.459220
10.000000 31810902.014338
